Gladiador;465.0;8.5;155;EUA
Naufrago;430.0;7.8;143;EUA
O Auto da Compadecida;10.0;8.6;104;Brasil
Shrek;492.0;7.9;90;EUA
Harry Potter e a Pedra Filosofal;975.0;7.7;152;Reino Unido/EUA
O Senhor dos Aneis: A Sociedade do Anel;898.0;8.9;178;Nova Zelândia/EUA
Cidade de Deus;31.0;8.6;130;Brasil
Homem-Aranha;825.0;7.4;121;EUA
O Senhor dos Aneis: As Duas Torres;947.0;8.8;179;Nova Zelândia/EUA
Procurando Nemo;941.0;8.2;100;EUA
Piratas do Caribe: A Maldiçao do Perola Negra;654.0;8.1;143;EUA
O Senhor dos Aneis: O Retorno do Rei;1150.0;9.0;201;Nova Zelândia/EUA
Shrek 2;935.0;7.4;93;EUA
Harry Potter e o Prisioneiro de Azkaban;808.0;7.9;142;Reino Unido/EUA
Os Incriveis;632.0;8.0;115;EUA
Batman Begins;373.0;8.2;140;EUA
Star Wars Episodio III;868.0;7.6;140;EUA
Madagascar;556.0;6.9;86;EUA
Casino Royale;616.0;8.0;144;Reino Unido/EUA
A Procura da Felicidade;307.0;8.0;117;EUA
Os Infiltrados;291.0;8.5;151;EUA
Tropa de Elite;14.0;8.0;115;Brasil
Transformers;709.0;7.0;144;EUA
Ratatouille;623.0;8.1;111;EUA
Batman: O Cavaleiro das Trevas;1000.0;9.0;152;EUA
Homem de Ferro;585.0;7.9;126;EUA
WALL-E;521.0;8.4;98;EUA
Avatar;2920.0;7.9;162;EUA
Up: Altas Aventuras;735.0;8.3;96;EUA
A Era do Gelo;386.0;7.5;94;EUA
Quem Quer Ser um Milionario?;378.0;8.0;120;Reino Unido
O Pianista;120.0;8.5;150;França/Polônia
Amelie;174.0;8.3;122;França
Kung Fu Panda;632.0;7.6;92;EUA
Tropa de Elite 2: O Inimigo Agora e Outro;60.50;8.0;115;Brasil
Minha Mae e uma Peça 3;34.20;7.1;111;Brasil
Bacurau;2.30;7.3;131;Brasil
Hoje Eu Quero Voltar Sozinho;1.10;7.9;96;Brasil
O Auto da Compadecida 2;28.50;7.4;105;Brasil
Cidade de Deus: A Luta Nao Para;12.80;7.6;110;Brasil
Marighella;1.90;6.6;155;Brasil
Que Horas Ela Volta?;3.10;7.8;112;Brasil
Ainda Estou Aqui;18.40;8.0;137;Brasil
Turma da Mônica: Laços;3.80;7.5;97;Brasil
Avatar: O Caminho da agua;2334.48;7.5;192;Estados Unidos
Vingadores: Ultimato;2797.50;8.4;181;Estados Unidos
Divertida Mente 2;1698.86;7.6;96;Estados Unidos
Star Wars: O Despertar da Força;2068.22;7.8;138;Estados Unidos
Vingadores: Guerra Infinita;2048.35;8.4;149;Estados Unidos
Homem-Aranha: Sem Volta para Casa;1922.59;8.2;148;Estados Unidos
Jurassic World: O Mundo dos Dinossauros;1671.53;6.9;124;Estados Unidos
O Rei Leao;1656.94;6.8;118;Estados Unidos
Os Vingadores;1518.81;8.0;143;Estados Unidos
Velozes e Furiosos 7;1515.34;7.1;137;Estados Unidos
Top Gun: Maverick;1503.22;8.2;130;Estados Unidos
Frozen 2;1450.02;6.8;103;Estados Unidos
Barbie;1447.13;6.9;114;Estados Unidos
Super Mario Bros. O Filme;1360.78;7.0;92;Estados Unidos
Pantera Negra;1347.28;7.3;134;Estados Unidos
Deadpool & Wolverine;1338.07;7.7;128;Estados Unidos
Star Wars: Os ultimos Jedi;1332.53;6.9;152;Estados Unidos
Coringa;1074.45;8.4;122;Estados Unidos
Harry Potter e as Reliquias da Morte - Parte 2;1342.13;8.1;130;Reino Unido
007 - Operaçao Skyfall;1108.59;7.8;143;Reino Unido
O Hobbit: Uma Jornada Inesperada;1017.03;7.8;169;Nova Zelandia
Mad Max: Estrada da Furia;380.41;8.1;120;Australia
Parasita;263.13;8.5;132;Coreia do Sul
Intocaveis;426.58;8.5;112;Franca
Titanic;1843.20;7.9;194;Estados Unidos
Star Wars: Episodio I - A Ameaça Fantasma;924.32;6.5;136;Estados Unidos
Jurassic Park: O Parque dos Dinossauros;914.69;8.2;127;Estados Unidos
Independence Day;817.40;7.0;145;Estados Unidos
O Rei Leao;763.46;8.5;88;Estados Unidos
Forrest Gump: O Contador de Historias;677.39;8.8;142;Estados Unidos
O Sexto Sentido;672.81;8.2;107;Estados Unidos
O Mundo Perdido: Jurassic Park;618.64;6.5;129;Estados Unidos
Homens de Preto;589.39;7.3;98;Estados Unidos
Armageddon;553.71;6.7;151;Estados Unidos
O Exterminador do Futuro 2: O Julgamento Final;519.84;8.6;137;Estados Unidos
Ghost: Do Outro Lado da Vida;505.70;7.1;127;Estados Unidos
Aladdin;504.05;8.0;90;Estados Unidos
Twister;494.47;6.4;113;Estados Unidos
Toy Story 2;485.02;7.9;92;Estados Unidos
O Resgate do Soldado Ryan;481.84;8.6;169;Estados Unidos
Esqueceram de Mim;476.68;7.7;103;Estados Unidos
Matrix;463.52;8.7;136;Estados Unidos
Uma Linda Mulher;463.41;7.1;119;Estados Unidos
Missao: Impossivel;457.70;7.1;110;Estados Unidos
Tarzan;448.19;7.3;88;Estados Unidos
Uma Baba Quase Perfeita;441.29;7.1;125;Estados Unidos
Dança com Lobos;424.21;8.0;181;Estados Unidos
A Mumia;415.93;7.1;124;Estados Unidos
O Guarda-Costas;411.01;6.3;129;Estados Unidos
Robin Hood: O Principe dos Ladroes;390.49;6.9;143;Estados Unidos
Godzilla;379.01;5.4;139;Estados Unidos
Verdades Mentiras;378.88;7.3;141;Estados Unidos
Toy Story;373.55;8.3;81;Estados Unidos
Quem Vai Ficar com Mary?;369.88;7.1;119;Estados Unidos
O Fugitivo;368.88;7.8;130;Estados Unidos
Duro de Matar 3: A Vingança;366.10;7.6;128;Estados Unidos
Um Lugar Chamado Notting Hill;363.89;7.2;124;Reino Unido
